D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.00190074,0.00067033,0.00120986,9.283e-5,0.0003781227980255184,0.532520194,0.463606046,0.0,0.0,0.00010024097906982703,0.0
0.0019008916445141786,0.0006742576687271497,0.0011991450211301068,9.400145300371456e-5,0.000377922857588716,0.5317653003367063,0.4645206270767107,7.325065168806456e-6,1.5759462866348785e-5,9.84490595161825e-5,0.16032064128256512
0.0019010450582147246,0.0006778946841821036,0.001188480893028805,9.516888557171312e-5,0.00037773789006435523,0.5310132298118966,0.4654337260433352,1.452221510667305e-5,3.122718649350721e-5,9.572623592517157e-5,0.32064128256513025
0.0019012003168357603,0.0006812593720431967,0.0011787703011912176,9.633200755018732e-5,0.0003776272940930196,0.5303060928265472,0.46634520798982443,2.1792808743904752e-5,4.6836466629539794e-5,9.456616285193837e-5,0.48096192384769537
0.0019013575988405917,0.0006843699739901434,0.0011682691442052248,9.749138943925472e-5,0.00037739840689686156,0.5295148946774327,0.4672556190820361,2.9874868500257777e-5,6.417254619371876e-5,9.436094416315841e-5,0.6412825651302605
0.001901516509248425,0.0006872352814411899,0.0011583767174200127,9.864306726193251e-5,0.0003772479299990941,0.528768700643603,0.4681643812939489,3.636399455720967e-5,7.807038443294986e-5,8.91937777758772e-5,0.8016032064128256
0.001901677478894496,0.000689875046892197,0.001149995221910529,9.978975845911096e-5,0.00037716387413295257,0.5280935373652217,0.4690718004955089,4.3902984639430294e-5,9.420671175433703e-5,8.930425464017781e-5,0.9619238476953907
0.0019018399150494488,0.0006922970224279374,0.001139666926612346,0.00010092622757770859,0.00037691691342302177,0.5272723854440394,0.46997765115620665,5.21620190678454e-5,0.00011187068783774184,8.46133176247066e-5,1.122244488977956
0.0019020043048829554,0.0006945184880661393,0.0011306023729422058,0.00010205569011568648,0.00037678944775066205,0.526524147186175,0.47088195723386234,5.8990248866763896e-5,0.00012644917775669735,8.459115730947718e-5,1.282565130260521
0.00190217046604238,0.000696549323876081,0.0011219304445782303,0.00010317623251293934,0.000376657406982051,0.5257777078932269,0.47178484378889834,6.563657527032917e-5,0.0001406229431214966,8.113042374638855e-5,1.4428857715430863
