D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.00190074,0.00067033,0.00120986,9.283e-5,0.0003781227980255184,0.532520194,0.463606046,0.0,0.0,7.009996249583427e-6,0.0
0.0019008861767548179,0.0006741400711702721,0.0011968363327251935,9.395539931261133e-5,0.00037704809499668863,0.5316424030942031,0.4644906491411608,5.012106747904672e-7,1.0775774616138964e-6,7.04237736214154e-6,0.16032064128256512
0.001901033894145358,0.0006776814873062795,0.001184254699576883,9.50762907675445e-5,0.0003760157693733322,0.5307670984024209,0.46537283324902223,9.90263518698977e-7,2.1279120685793906e-6,6.956977290614426e-6,0.32064128256513025
0.0019011816429309713,0.0006809561782201599,0.001172224624994436,9.618067941265431e-5,0.0003752609876490168,0.5299029055684717,0.4662444170887372,1.3614413607358098e-6,2.9238880126532998e-6,6.396840021760433e-6,0.48096192384769537
0.0019013343312008295,0.00068403427713469,0.0011602794328470618,9.730539284398052e-5,0.000373993442021685,0.5290208524907332,0.46713307368868057,1.9784639700449005e-6,4.2470914676395235e-6,6.943300325195549e-6,0.6412825651302605
0.0019014869471564119,0.0006868655453845635,0.0011488634993161806,9.841101944408789e-5,0.0003730214800058927,0.5281506954829357,0.4680098507304688,2.465565404235522e-6,5.290063234620353e-6,6.919729025415284e-6,0.8016032064128256
0.001901641274464273,0.0006894765306975194,0.0011378380110861402,9.951024525230132e-5,0.00037210802509294444,0.527282093831462,0.46888082325665914,2.945645175390729e-6,6.316912371444122e-6,6.8871678717055834e-6,0.9619238476953907
0.0019017980571376999,0.0006919007910371211,0.001127067737203573,0.00010060889042365695,0.00037100056124940553,0.5264100363737694,0.46976093281290243,3.473510183214086e-6,7.445197460402248e-6,6.954771941038046e-6,1.122244488977956
0.0019019557914052901,0.0006941337830211711,0.0011166700363455556,0.00010169510282661992,0.00037001719527510874,0.5255434080314282,0.4706342028943764,3.975047041353004e-6,8.515910840596764e-6,6.960353321215663e-6,1.282565130260521
0.0019021149728020285,0.0006961803176041813,0.0011066284121184473,0.0001027719710497889,0.00036910326612112987,0.5246793217534368,0.47150308444085,4.4616692213394544e-6,9.553611770707614e-6,6.9416965461069175e-6,1.4428857715430863
