CL,D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.9999999999999984,0.001998716029779206,0.0011141066020621778,0.0010325006343657125,0.00024217937975424346,1.9976252480420793e-5,0.2958411977315089,0.6995935947684406,0.0001777048540876562,0.0003581465455450976,9.539941498622193e-5,80.4
0.9999999999999984,0.0020000859729713783,0.0011269364556145646,0.0010431768347135616,0.0002444799926813442,0.0033393733377587386,0.29413200557194424,0.7012032947676472,0.00025002040442622287,0.000461830894976866,9.539941498622193e-5,80.80000000000001
0.9999999999999984,0.0020014690969718495,0.001140031379140691,0.0010540887089235031,0.0002468322390626809,0.003235696885998294,0.29243442119923924,0.7028008853468823,0.00032227202977823085,0.0005655073467373106,9.539941498622193e-5,81.2
0.9999999999999983,0.0020028656959481562,0.0011533965128526738,0.0010652398214761507,0.00024923698256775086,0.003132028332001601,0.29074839778762074,0.7043864046682814,0.00039445853125157115,0.0006691759007340036,9.539941498622193e-5,81.60000000000001
0.9999999999999984,0.002004276069035549,0.001167037052311057,0.0010766338870734486,0.0002516951097343927,0.00302836767585682,0.2890738891816675,0.7059598899871466,0.00046657871302980517,0.0007728365568787848,9.539941498622193e-5,82.0
0.9999999999999986,0.0020057005204636223,0.0011809582604213685,0.0010882747637994282,0.0002542075296991358,0.002924714917651057,0.2874108499064442,0.7075213776369932,0.0005386313821774963,0.0008764893150845479,9.539941498622193e-5,82.4
0.9999999999999986,0.002007139359682229,0.0011951654777319282,0.001100166447753194,0.00025677517406896144,0.0028210700574735413,0.2857592351770725,0.7090709030152488,0.0006106153484408284,0.0009801341752620632,9.539941498622193e-5,82.80000000000001
0.9999999999999986,0.002008592901487332,0.0012096641313349087,0.0011123130689084477,0.0002593989969102126,0.0027174330954187836,0.28411900090786074,0.710608500569453,0.0006825294240437464,0.001083771137316821,9.539941498622193e-5,83.2
0.9999999999999983,0.0020100614661473343,0.0012244597426206575,0.0011247188879963395,0.00026207997483467904,0.0026138040315897212,0.28249010372109395,0.7121342037838256,0.0007543724234797914,0.0011874002011458833,9.539941498622193e-5,83.60000000000001
0.9999999999999984,0.0020115453795303516,0.0012395579340922207,0.0011373882942435657,0.00026481910716643416,0.002510182866100868,0.2808725009555691,0.7136480451660969,0.0008261431632997576,0.0012910213666347367,9.539941498622193e-5,84.0
0.9999999999999983,0.0020130449732327894,0.0012549644354113165,0.0011503258038267129,0.00026761741617592916,0.0024065695990814684,0.27926615067494553,0.7151500562345109,0.0008978404618952569,0.001394634633654136,9.539941498622193e-5,84.4
0.9999999999999984,0.00201456058470955,0.0012706850888174522,0.0011635360589278949,0.0002704759473702714,0.002302964230678673,0.27767101167597075,0.7166402675049243,0.0009694631392782459,0.0014982400020569315,9.539941498622193e-5,84.8
0.9999999999999983,0.0020160925574061314,0.0012867258540373964,0.0011770238272966202,0.00027339576983061045,0.002199366761060727,0.2760870434966299,0.7181187084779411,0.001041010016856546,0.0016018374716748776,9.539941498622193e-5,85.2
0.9999999999999983,0.002017641240892834,0.0013030928127819473,0.001190794002239282,0.00027637797658920454,0.00209577719042019,0.27451420642426194,0.7195854076260277,0.0011124799172053629,0.0017054270423154147,9.539941498622193e-5,85.60000000000002
0.9999999999999982,0.002019206991001275,0.001319792172910153,0.001204851602971258,0.00027942368504009875,0.001992195518977183,0.27295246150367686,0.7210403923805638,0.0011838716638347944,0.0018090087137584215,9.539941498622193e-5,86.0
0.9999999999999982,0.002020790169963359,0.001336830272327244,0.0012192017752778658,0.00028253403737846667,0.0018886217469826691,0.2714017705453037,0.7224836891187943,0.0012551840809533108,0.0019125824857529354,9.539941498622193e-5,86.4
0.9999999999999982,0.0020223911465528537,0.0013542135826710322,0.001233849792439703,0.0002857102010645886,0.001785055874721768,0.2698620961333952,0.7239153231506477,0.0013264159932271633,0.0020161483580138366,9.539941498622193e-5,86.8
0.999999999999998,0.00202401029622968,0.001371948712832007,0.0012488010563855994,0.00028895336930919997,0.0016814979025171093,0.26833340163431063,0.7253353187053952,0.0013975662255356844,0.002119706330218495,9.539941498622193e-5,87.2
0.9999999999999982,0.0020256480012870296,0.0013900424123444743,0.0012640610990427498,0.0002922647615775659,0.0015779478307322275,0.2668156512048946,0.7267436989181293,0.0014686336027224228,0.002223256402003377,9.539941498622193e-5,87.6
0.999999999999998,0.002027304651001402,0.0014085015746795582,0.001279635583858849,0.00029564562411015134,0.0014744056597749953,0.2653088098009687,0.7281404858160374,0.0015396169493420585,0.0023267985729606092,9.539941498622193e-5,88.0
0.9999999999999981,0.002028980641785637,0.0014273332404654798,0.0012955303074753794,0.00029909723045817507,0.0013708713901011038,0.26381284318594994,0.7295257003044604,0.0016105150894030315,0.0024303328426345007,9.539941498622193e-5,88.4
0.9999999999999981,0.0020306763773450297,0.0014465446006560456,0.00131175120153479,0.0003026208820326809,0.0012673450222175854,0.2623277179396073,0.7308993621527164,0.001681326846105817,0.002533859210518019,9.539941498622193e-5,88.8
0.999999999999998,0.002032392268836589,0.001466142999664579,0.001328304334607251,0.00030621790866604,0.0011638265566863838,0.26085340146696795,0.7322614899796789,0.001752051041576774,0.0026373776760492207,9.539941498622193e-5,89.2
0.999999999999998,0.0020341287350315053,0.001486135938477445,0.0013451959142251103,0.00030988966918502655,0.00106031599412797,0.2593898620073827,0.7336121012390988,0.0018226864965974938,0.0027408882386076344,9.539941498622193e-5,89.60000000000001
