D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.00190074,0.00067033,0.00120986,9.283e-5,0.0003781227980255184,0.532520194,0.463606046,0.0,0.0,1.5274626184424831e-6,0.0
0.0019008676626758605,0.0006735698648402789,0.001196198682676838,9.379429680646338e-5,0.00036268273433992445,0.5316073311114486,0.4643661427707989,9.434782636978104e-8,2.0228059889779082e-7,1.533158091146857e-6,0.16032064128256512
0.001900994669155398,0.0006767874775473397,0.0011830141724696248,9.475489861872061e-5,0.00035016575719544945,0.5306965660446582,0.46512195672257284,1.8878371937956154e-7,4.0475053947404667e-7,1.5337639311612562e-6,0.32064128256513025
0.0019011157675560399,0.0006797047574067435,0.0011702759456403806,9.565578901812174e-5,0.00034018784383863594,0.5297873638318434,0.4658324295997276,2.454537457391562e-7,5.259429337317849e-7,1.3601602589008995e-6,0.48096192384769537
0.0019012534160181471,0.0006825586060733203,0.0011579457767678441,9.66619304517084e-5,0.0003269950938272425,0.5288785867213995,0.466628519002735,3.708440468004959e-7,7.94395067664919e-7,1.5095906515049733e-6,0.6412825651302605
0.0019013836115692418,0.0006853109483840297,0.0011460455165094394,9.761067433291206e-5,0.0003179699011637568,0.5279726124185261,0.4673840968321616,4.5779089577233014e-7,9.803450140814687e-7,1.4933885956586795e-6,0.8016032064128256
0.001901504090407411,0.0006875799151003917,0.0011345137163452038,9.846175000221152e-5,0.0003055589955998039,0.5270667609311402,0.46806243819176596,4.981880438842864e-7,1.0661460315474576e-6,1.3754477237020713e-6,0.9619238476953907
0.0019016507938406136,0.0006900686035115021,0.001123387575511041,9.949803382623524e-5,0.00030019948308284675,0.526164504902208,0.4688934744423802,6.533044145560608e-7,1.3977962987997343e-6,1.5165487487331452e-6,1.122244488977956
0.0019017853918792144,0.0006923146301279278,0.00111260707179359,0.00010044024254003037,0.000291098061472795,0.5252628628419613,0.46964535686442554,7.433897730786455e-7,1.5898524772238417e-6,1.5104437805091676e-6,1.282565130260521
0.0019019222002800871,0.0006942959256082157,0.0011021703098219198,0.00010136961524613678,0.0002843207849798,0.5243628409422229,0.4703948912927213,8.345579915419275e-7,1.7840180379237632e-6,1.5071959438194726e-6,1.4428857715430863
0.0019020598004063285,0.0006962494650030171,0.001092056957839138,0.00010229918157152774,0.00027638751749233637,0.5234638981037829,0.4711452431535402,9.289531562572319e-7,1.985092830460603e-6,1.5090218988355102e-6,1.6032064128256511
0.0019022008080166793,0.0006980301714572256,0.0010822634655410243,0.00010323793961729963,0.00026738576757268876,0.5225668687052366,0.4719017452670819,1.032588585323538e-6,2.205512164635653e-6,1.5217753225918129e-6,1.7635270541082164
0.0019023394047550932,0.000699573807178927,0.0010727629711471034,0.00010414226493145857,0.0002611510970077285,0.5216708239592339,0.47264034194583443,1.1319315207144688e-6,2.416748971205922e-6,1.5275025140272086e-6,1.9238476953907815
0.0019024819811822326,0.0007012884754783579,0.0010635900915497952,0.00010507045998457769,0.0002595382131738951,0.5207788829396197,0.47339667689323905,1.219867460917031e-6,2.603348228227084e-6,1.5202176042193908e-6,2.0841683366733466
0.0019026326934705599,0.0007026642410885089,0.0010546856766727555,0.00010601836758168667,0.00025474660454267057,0.5198879838903058,0.4741802797761959,1.3300363869886124e-6,2.8372763073232024e-6,1.5356115075796497e-6,2.244488977955912
0.0019027685678963528,0.0007039602810435542,0.0010460573320771917,0.00010686771083737988,0.00025283902779059213,0.5189994472196371,0.4748884801775279,1.4042172291449728e-6,2.994308796324163e-6,1.516141098123562e-6,2.4048096192384767
0.0019029159319711216,0.0007052147538537219,0.0010376684628356414,0.0001077593358485195,0.00024766769909595216,0.5181105654796635,0.4756372670107463,1.5004321756475395e-6,3.1980025191836775e-6,1.5177717005618936e-6,2.565130260521042
0.0019030637989457964,0.0007063189211630556,0.0010295208995221383,0.0001086480783681478,0.0002442998528657093,0.5172235383585788,0.4763817834936159,1.6044815473179532e-6,3.4184149112497563e-6,1.5255059150882935e-6,2.7254509018036073
0.0019032131586168228,0.0007073201475120195,0.001021608463124162,0.00010953750415349217,0.00023893712955403055,0.516336939138099,0.4771421082803154,1.7052974425981368e-6,3.631645784988647e-6,1.5298261580326565e-6,2.8857715430861726
0.001903362179965808,0.0007082142605738937,0.0010139408188465024,0.00011040094116826938,0.00023701116540591506,0.5154541186942245,0.4778764490818815,1.7987853204698093e-6,3.82911875138939e-6,1.5283834502549596e-6,3.046092184368738
